DocumentNumber,County,Narrative
20213079954,Franklin County,The driver of Unit # 1 entered the McDonald's parking lot located at 3554 S High St;     According to the witness; Unit # 1 drove up on the curb and then stopped at the opening of the drive thru. The witness went over and asked the driver of Unit # 1 if he was OK. The driver replied yes and sped off in a hurry around the building. The witness walked around the building to see if Unit # 1 exited the parking lot. He did not and continued around the parking striking a McDonald's entry sign. Unit # 1 got back in the drive thru lane and fell asleep directly in front of the order window. The witness called the police. Upon police arrival the driver of Unit 1 was completely passed out behind the wheel. Officers were able to wake him up without further incident. The driver of Unit 1 was cited for CCC 2133.01A1a and released on a summons;
20213080289,Franklin County,Unit #1 made an illegal left turn onto westbound Tussing Rd. from the service road that goes to Jiffy Lube and other businesses east of Brice Rd.  Unit #2 was westbound on Tussing Rd. in the left lane; passing the service road that Unit #1 was exiting from.  Unit #1 struck the left rear of Unit #2.  The driver of Unit #1 then fled the scene.  Unit #2 chased Unit #1 to Hamilton Rd. over top of I70 where they jumped out and flagged down the reporting officer who had both Unit #1 and Unit #2 pull off to the shoulder.  The listed witness/caller stated Unit #1 was making an illegal left turn by the Subway and Jiffy Lube and hit Unit #2.
20213080429,Franklin County,The crash occurred on N Wilson Rd near the intersection to I70. Unit 2 was stopped at the light facing northbound and Unit 1 was behind them also traveling northbound. The driver of Unit 1 failed to leave an assured clear distance ahead; striking Unit 2 in the rear of the vehicle. Unit 1 then attempted to flee the scene without providing identifying information. Unit 2 blocked the vehicle in infront of the subway on Wilson Rd and the driver fled in a separate vehicle OH Tag JAX5022. Due to the registered address of the vehicle officers were unable to complete follow-up. 
20213083612,Franklin County,Unit 1 was entering the McDonald's parking lot from S. Hamilton Rd traveling southbound in the parking lot. Unit 2 (McDonald's food semi offloading food) was stationary parked alongside the western most side of the parking lot. Unit 1 struck Unit 2 on the side as Unit 2 was parked. Unit 2 had a steel lift on the side of the vehicle and was offloading food. Unit 1 ran into the steel ramp. Unit 1s driver complained of lower back pain and was transported by Madison Township Fire #181 to Obetz Medical and treated by Dr. B. Raetzke. Husband of the driver of Unit 1 showed up to the crash scene and drove the vehicle home.
20213086224,Franklin County,Unit #1 was traveling westbound on International Gateway in the far right lane. Unit #2 was traveling westbound on International Gateway in the middle lane. Unit #1 turned left into McDonalds; striking unit #2 on the right front corner. Unit #1 was spun around by the collision and stopped facing Eastbound in the Westbound lanes.
20213090861,Franklin County,Collision occurred in the drive-thru lane of KFC; 2601 Brice Rd.  Unit 2 was stopped in the drive-thru lane facing south.  Unit 1 was northbound in the private drive just west of the drive-thru lane.  Driver of Unit 1 started turning right; making a U-turn to get in the drive-thru lane.  Driver and passenger of Unit 1 stated the driver's foot came off the brake; possible hitting the gas; and Unit 1 struck the rear of Unit 2.  Unit 1 then hit a sign on the left side of the drive-thru lane; kept turning right; went across the grass median and went back across the private drive and struck the guardrail on the west side of the private drive.  No injuries reported at time of collision.  No citation issued due to collision being on private property.  Driver of Unit 1 was going to have vehicle towed by themselves. 
20213092935,Franklin County,The driver of Unit 2 was traveling east on W Mound St in the #2 lane. The driver of Unit 1 was traveling west on W Mound St and attempting to turn into the McDonald's on the south side of the roadway. The driver of Unit 1 stated they had turned left in front of Unit 2 in order to go into the Mcdonald's. The driver of Unit 2 stated they attemtpted to go around Unit 1 by going into the McDonald's parking lot but Unit 1 continued and they collided. The impact caused Unit 1 to ricochet and run head on into Unit 3 who wasstopped in the drive through of the restaurant. A witness also described the incident as Unit 1 turning left in front of Unit 2. CFD medic 10 responded to scene for treatment but no one was transported. The driver of Unit 1 was found to have no valid driver's license. The driver of Unit 1 was cited for Failure to Yield on left turn and No Operator's License. Unit 1 was impounded to the CPD impound lot. 
20213093133,Franklin County,Driver of Unit #1 stated that he was traveling westbound from the Taco Bell parking lot located at 808 S High St attempting to make a left southbound turn onto S High St.  Driver of Unit #1 had a clearing to turn from the private drive but had to stop due to another vehicle turning from another private drive which caused Unit #1's front end to stop in the middle of the northbound lanes of S High St at which point Unit #1 was struck in the front by Unit #2.  Unit #2 was traveling northbound in the left lane of S High St between E Columbus St and E Kossuth St when he struck the front of Unit #1 with his right passenger side.  Driver of Unit #1 was cited for Failure to Yield From a Private Drive.
20213095959,Franklin County,Driver of Unit 1 stated that she was exiting the drive of Wendy's turning Eastbound on the service road just south of 161 and west of Maple Canyon Ave.  Driver of Unit 1 stated that after turning there were several cars that weren't moving forward on the road.  Driver of Unit 1 stated that she hit her horn several times but no vehicles moved.  Driver of Unit 1 stated that she went to pass on the left after assuring that there were no other vehicles on that side of the road.  While attempting to pass; Unit 2 veered left striking the side of Unit 1 on the passenger door.  Driver of Unit 2 stated that she was stuck in traffic on the service road just Southwest of 161 and Maple Canyon when Unit 1 went to pass Unit 2 striking the front of Unit 2.  Driver of Unit 2 stated that she never moved the vehicle.  Officer observed that Unit 2 was diagonal on the road appearing as though it had attempted to veer left.  No driver was cited as an at fault party was unable to be determined.  It is to be noted that both drivers were aggressive toward each other during the situation and had made threats to fight each other.  
20213097638,Franklin County,Unit 1 caused a traffic crash with Unit 2; then fled the scene without stopping and was not located. Driver of Unit 2 stated she was driving in the #1 lane of northbound Cleveland Avenue; just north of E.11th Avenue when she suddenly saw a red vehicle; driving southbound; turn directly in front of her into oncoming lanes; trying to pull into the parking lot of a Subway located at 1418 Cleveland Avenue. Unit 2 was able to swerve to her left to avoid the head-on collision; but still ended up making contact with Unit 1. The crash caused Unit 2 to lose control and drive off the left side of the road; past oncoming traffic and then she was able to drive back onto the street and gain control of the vehicle. Unit 2 recalled the vehicle as possibly a red Chrysler 300; however; Officers observed the crash on a city of Columbus camera posted at the corner of E. 11th/Cleveland; which showed a red Dodge Charger fail to yield to oncoming traffic (Unit 2); and drive directly in front of Unit 2 before the crash occurred. Unit 1 was never seen stopping or attempting to stop at any time and was clearly the at fault vehicle in the crash. No license plate was obtained for Unit 1; so it was not located. Unit 2 sustained no injuries to the occupants and it was still driveable; so the driver was given the incident number for insurance follow-up and released.
20213097766,Franklin County,The driver of Unit #1 stated she was traveling south on N. High St. in the middle lane attempting to make a left hand turn into Wendy's at 5026 N. High St. when the front of Unit #1 struck Unit #2 in the driver's side. The driver of Unit #1 stated she did not see Unit #2. The driver of Unit #2 stated he was driving north on N. High St. when the driver's side of Unit #2 was struck by the front of Unit #1 in front of 5026 N. High Street. The passenger of Unit #2 confirmed the statement made by the driver of Unit #2. There were no injuries. Both units were towed for the owner. The driver of Unit #1 was cited for failing to yield on a left hand turn.
20213098667,Franklin County,Driver of Unit #2 stated that she was traveling eastbound on W Mound St when driver of Unit #1 pulled out in front of her and caused Unit #1 to strike Unit #2. Driver of Unit #1 stated that she was turning left out of the parking lot of the McDonald's on Mound St and thought that the cars had stopped to let her go. Driver of Unit #1 stated that she did not see Unit #2 coming and pulled in front of her. Unit #1 came to  a final rest on the side of Mound St. facing westbound. Unit #2 came to a final rest in the center of the roadyway on Mound St facing Eastbound. No injuries were reported from the driver or passenger of Unit #1. Unit #2 sustained non life threatning injuries and was transported to Mount Carmel Franklinton by CFD medic 10 in stable condition; where the driver of Unit #2 was seen by attending physicians for chest and neck pain. Driver of Unit #1 was cited for 2131.17 Right-of-way when turning left. Drivers of Unit #1 and Unit #2 arranged for their own transport of their vehicles.  
